text,nic_code,nic_label,division
manufacturingclothing manufacturing unit on small scale,14101,Manufacture of textile garments,Manufacturing
we have a iron and steel plant as a home business,24101,Manufacture of pig iron,Manufacturing
our unit is involved in bicycle manufacturing for export,30921,Manufacture of bicycles,Manufacturing
makingheera ghasai ka kaam near me,32112,Working of diamonds and precious stones,Manufacturing
sellingwe assemble mobile phones near me,26305,Manufacture of pagers cellular phones,Manufacturing
our unit is involved in we grow coffee in coorg business,1272,Growing of coffee,Agriculture
i am doing packaged drinking water business,11043,Manufacture of mineral water,Manufacturing
we grow tomatoes and chillies,1132,Growing of fruit-bearing vegetables,Agriculture
recruitment agency as a home business,78100,Activities of employment placement agencies,Services
providingpaint production unit at home,20221,Manufacture of paints and varnishes,Manufacturing
we make fruit juice as msme,10304,Manufacture of fruit juices,Manufacturing
i am doing we make skimmed milk powder near me,10502,Manufacture of milk powder,Manufacturing
the company is engaged in metal utensil production,25994,Manufacture of metal household articles,Manufacturing
Growingwe provide manpower in my village,78100,Activities of employment placement agencies,Services
i own a we sell gold and silver jewellery,47733,Retail sale of jewellery,Trade
i own a electronic goods shop as micro enterprise,47420,Retail sale of audio and video equipment,Trade
i do road construction for export,42101,Construction of highways and roads,Construction
sellingaam bagicha in india,1221,Growing of mangoes,Agriculture
we specialize in agarbatti production unit as msme,20238,Manufacture of agarbatti,Manufacturing
Growingsugarcane farming on small scale,1140,Growing of sugar cane,Agriculture
my work involves wheat crop production for local market,1111,Growing of wheat,Agriculture
we do we sell online on amazon flipkart near me,47912,Retail sale via e-commerce,Trade
providingmarble quarrying,8101,Quarrying of marble,Mining
our business is buffalo dairy farm in my village,1412,Production of milk from cows or buffaloes,Agriculture
we specialize in rubber tyre production as a home business,22111,Manufacture of rubber tyres for motor vehicles,Manufacturing
the company is engaged in onion cultivation and selling as micro enterprise,1133,Growing of onion,Agriculture
we do milk powder making,10502,Manufacture of milk powder,Manufacturing
we are manufacturers of pashu chikitsa unit,75000,Veterinary activities,Professional
providingzardozi embroidery as micro enterprise,13991,Embroidery work and making of laces,Manufacturing
tax consultant unit,69202,Tax consultancy,Finance
i make bread on small scale,10711,Manufacture of bread,Manufacturing
we are manufacturers of biscuit manufacturing unit,10712,Manufacture of biscuits and cakes,Manufacturing
we are manufacturers of i make leather bags and purses,15121,Manufacture of travel goods and bags,Manufacturing
sellingjute products manufacturing for domestic use,13942,Manufacture of cordage or rope of jute,Manufacturing
madhumakhi palan on small scale,1492,Bee-keeping and production of honey,Agriculture
servicechai packing unit in india,10791,Processing and blending of tea,Manufacturing
i do jute products manufacturing for local market,13942,Manufacture of cordage or rope of jute,Manufacturing
tradingparcel delivery business for local market,53200,Courier activities,Transport
we specialize in flour mill as micro enterprise,10611,Flour milling,Manufacturing
sellingeent banane ka kaam,23921,Manufacture of bricks,Manufacturing
makingelectricity distribution in my village,35109,Collection and distribution of electric energy,Energy
i own a i am an onion farmer,1133,Growing of onion,Agriculture
i am doing we do zari and gota work,13992,Zari work and ornamental trimmings,Manufacturing
our business is general practitioner clinic business,86201,Medical practice activities,Healthcare
i run a goat and sheep breeding near me,1441,Raising and breeding of sheep and goats,Agriculture
we are into paper bag making on small scale,17024,Manufacture of sacks and bags of paper,Manufacturing
tradingwheat crop production,1111,Growing of wheat,Agriculture
business activity: iron ore mining in my village,7100,Mining of iron ores,Mining
serviceaerated drinks manufacturing for domestic use,11041,Manufacture of aerated drinks,Manufacturing
we install solar panels,35105,Electric power generation using solar energy,Energy
i run a rice mill unit,10612,Rice milling,Manufacturing
makingsurgical instrument making as a home business,32504,Manufacture of bone plates and syringes,Manufacturing
i run a electric cable production as micro enterprise,27320,Manufacture of wires and cables,Manufacturing
animal doctor clinic business,75000,Veterinary activities,Professional
we are into vegetable farming for domestic use,1131,Growing of vegetables,Agriculture
servicei make shoes chappal business,15201,Manufacture of leather footwear,Manufacturing
we do motor driving institute as msme,85223,Professional motor driving school,Education
mango orchard on small scale,1221,Growing of mangoes,Agriculture
we deal in we grow onion unit,1133,Growing of onion,Agriculture
i sell chili farming,1282,Growing of chili,Agriculture
i own a i grow rice paddy,1121,Organic farming of basmati rice,Agriculture
we deal in vermicelli making unit business,10740,Manufacture of macaroni and noodles,Manufacturing
my small business is meal delivery catering,56291,Activities of food service contractors,Hospitality
we are manufacturers of we run a medical store as msme,47721,Retail sale of pharmaceuticals,Trade
sellingcarpenter furniture shop as msme,31001,Manufacture of furniture of wood,Manufacturing
repairingkhilona banane ka kaam,32401,Manufacture of dolls and toy animals,Manufacturing
Growingparlour and spa for export,96020,Hairdressing and other beauty treatment,Services
tradingwe grow coffee in coorg for domestic use,1272,Growing of coffee,Agriculture
repairinghomeopathy clinic for export,86903,Activities of homeopaths,Healthcare
we have a civil engineer consultant,71100,Architectural and engineering activities,Professional
the company is engaged in we give loans to people for domestic use,64920,Other credit granting,Finance
we specialize in website development as msme,62012,Web page designing,IT Services
we specialize in wheat farming business,1111,Growing of wheat,Agriculture
our business is cream lotion making business,20237,Manufacture of cosmetics and toileteries,Manufacturing
servicemobile app development at home,62011,Writing computer programs,IT Services
i run a we manufacture locks,25934,Manufacture of padlocks and locks,Manufacturing
we are into tailoring unit for export,14105,Custom tailoring,Manufacturing
we are manufacturers of biscuit manufacturing,10712,Manufacture of biscuits and cakes,Manufacturing
i do jute farming,1162,Growing of jute,Agriculture
auto parts manufacturing in my village,29301,Manufacture of motor vehicle parts,Manufacturing
i do chartered accountant firm business,69201,Accounting and auditing activities,Finance
makingegg production farm as msme,1462,Production of eggs,Agriculture
servicesoap manufacturing unit in india,20231,Manufacture of soap all forms,Manufacturing
repairingchili farming since many years,1282,Growing of chili,Agriculture
my small business is we quarry granite as msme,8102,Quarrying of granite,Mining
my small business is i am an onion farmer,1133,Growing of onion,Agriculture
